Full_Name,Team,Position,Overall,Madden_Year
Mario Williams,BUF,LE,92,2014
Jarron Gilbert,BUF,LE,69,2014
Colin Brown,BUF,LG,62,2014
Sam Young,BUF,LG,72,2014
Chris Scott,BUF,LG,68,2014
Jerry Hughes,BUF,LOLB,72,2014
Mark Anderson,BUF,LOLB,73,2014
Kourtnei Brown,BUF,LOLB,56,2014
Thomas Welch,BUF,LT,60,2014
Chris Hairston,BUF,LT,74,2014
Cordy Glenn,BUF,LT,77,2014
Brian Smith,BUF,MLB,61,2014
Arthur Moats,BUF,MLB,70,2014
Kiko Alonso,BUF,MLB,70,2014
Nigel Bradham,BUF,MLB,73,2014
Marcus Dowtin,BUF,MLB,52,2014
Shawn Powell,BUF,P,65,2014
Jeff Tuel,BUF,QB,64,2014
Kevin Kolb,BUF,QB,76,2014
E.J. Manuel,BUF,QB,74,2014
Alex Carrington,BUF,RE,71,2014
Jay Ross,BUF,RE,57,2014
Alan Branch,BUF,RE,75,2014
Kyle Williams,BUF,RE,91,2014
Kraig Urbik,BUF,RG,81,2014
Zack Chibane,BUF,RG,63,2014
Keith Williams,BUF,RG,61,2014
Chris White,BUF,ROLB,61,2014
Bryan Scott,BUF,ROLB,73,2014
Manny Lawson,BUF,ROLB,82,2014
Erik Pears,BUF,RT,78,2014
Zebrie Sanders,BUF,RT,66,2014
Mana Silva,BUF,SS,65,2014
Da'Norris Searcy,BUF,SS,75,2014
Duke Williams,BUF,SS,70,2014
Jonathan Meeks,BUF,SS,64,2014
Scott Chandler,BUF,TE,83,2014
Lee Smith,BUF,TE,73,2014
Mike Caussin,BUF,TE,66,2014
Chris Gragg,BUF,TE,69,2014
Mickey Shuler,BUF,TE,62,2014
Marcus Easley,BUF,WR,66,2014
Da'Rick Rogers,BUF,WR,66,2014
Marquise Goodwin,BUF,WR,64,2014
Robert Woods,BUF,WR,70,2014
Chris Hogan,BUF,WR,63,2014
T.J. Graham,BUF,WR,70,2014
DeMarco Sampson,BUF,WR,62,2014
Brad Smith,BUF,WR,73,2014
Kevin Elliott,BUF,WR,60,2014
Stevie Johnson,BUF,WR,89,2014
C.J. Davis,DEN,C,65,2014
Justin Boren,DEN,C,61,2014
Quentin Saulsberry,DEN,C,64,2014
Philip Blake,DEN,C,68,2014
J.D. Walton,DEN,C,79,2014
Champ Bailey,DEN,CB,93,2014
Tony Carter,DEN,CB,74,2014
Mario Butler,DEN,CB,66,2014
Chris Harris,DEN,CB,82,2014
Kayvon Webster,DEN,CB,69,2014
Omar Bolden,DEN,CB,71,2014
Dominique Rodgers-Cromartie,DEN,CB,79,2014
Terrance Knighton,DEN,DT,80,2014
Kevin Vickerson,DEN,DT,78,2014
Sealver Siliga,DEN,DT,65,2014
Mitch Unrein,DEN,DT,66,2014
Sylvester Williams,DEN,DT,76,2014
Jacob Hester,DEN,FB,79,2014
Quinton Carter,DEN,FS,72,2014
Rahim Moore,DEN,FS,82,2014
Quentin Jammer,DEN,FS,79,2014
Jeremiah Johnson,DEN,HB,65,2014
Knowshon Moreno,DEN,HB,76,2014
Ronnie Hillman,DEN,HB,72,2014
Montee Ball,DEN,HB,75,2014
Lance Ball,DEN,HB,70,2014
Matt Prater,DEN,K,84,2014
Malik Jackson,DEN,LE,65,2014
Derek Wolfe,DEN,LE,74,2014
Jeremy Beal,DEN,LE,66,2014
Zane Beadles,DEN,LG,81,2014
Manny Ramirez,DEN,LG,76,2014
Stewart Bradley,DEN,LOLB,72,2014
Von Miller,DEN,LOLB,97,2014
Chris Clark,DEN,LT,64,2014
Ryan Clady,DEN,LT,94,2014
Joe Mays,DEN,MLB,79,2014
Nate Irving,DEN,MLB,66,2014
Steven Johnson,DEN,MLB,60,2014
Britton Colquitt,DEN,P,81,2014
Brock Osweiler,DEN,QB,73,2014
Zac Dysert,DEN,QB,68,2014
Peyton Manning,DEN,QB,97,2014
Quanterus Smith,DEN,RE,68,2014
Shaun Phillips,DEN,RE,79,2014
Robert Ayers,DEN,RE,81,2014
Louis Vasquez,DEN,RG,89,2014
Chris Kuper,DEN,RG,81,2014
Danny Trevathan,DEN,ROLB,68,2014
Wesley Woodyard,DEN,ROLB,80,2014
Vinston Painter,DEN,RT,64,2014
Orlando Franklin,DEN,RT,86,2014
Duke Ihenacho,DEN,SS,61,2014
David Bruton,DEN,SS,71,2014
Mike Adams,DEN,SS,78,2014
Joel Dreessen,DEN,TE,83,2014
Aaron Brewer,DEN,TE,39,2014
Julius Thomas,DEN,TE,65,2014
Virgil Green,DEN,TE,71,2014
Jacob Tamme,DEN,TE,80,2014
Andre Caldwell,DEN,WR,74,2014
Greg Orton,DEN,WR,61,2014
Gerell Robinson,DEN,WR,62,2014
Tavarres King,DEN,WR,65,2014
Eric Decker,DEN,WR,87,2014
Demaryius Thomas,DEN,WR,90,2014
Trindon Holliday,DEN,WR,67,2014
Wes Welker,DEN,WR,93,2014
Alex Mack,CLE,C,91,2014
Braxston Cave,CLE,C,64,2014
Christian Yount,CLE,C,57,2014
Buster Skrine,CLE,CB,74,2014
Joe Haden,CLE,CB,91,2014
Prince Miller,CLE,CB,59,2014
Leon McFadden,CLE,CB,71,2014
Trevin Wade,CLE,CB,65,2014
Christopher Owens,CLE,CB,73,2014
Nicolas Jean-Baptiste,CLE,DT,58,2014
Ishmaa'ily Kitchen,CLE,DT,67,2014
Phil Taylor,CLE,DT,83,2014
Owen Marecic,CLE,FB,75,2014
Brad Smelley,CLE,FB,73,2014
Dan Gronkowski,CLE,FB,64,2014
Tashaun Gipson,CLE,FS,71,2014
Johnson Bademosi,CLE,FS,67,2014
Chris Ogbonnaya,CLE,HB,70,2014
Brandon Jackson,CLE,HB,71,2014
Dion Lewis,CLE,HB,71,2014
Montario Hardesty,CLE,HB,72,2014
Miguel Maysonet,CLE,HB,64,2014
Trent Richardson,CLE,HB,87,2014
Shayne Graham,CLE,K,83,2014
Billy Winn,CLE,LE,75,2014
Hall Davis,CLE,LE,64,2014
Brian Sanford,CLE,LE,64,2014
Ahtyba Rubin,CLE,LE,84,2014
John Greco,CLE,LG,77,2014
Jason Pinkston,CLE,LG,74,2014
James-Michael Johnson,CLE,LOLB,67,2014
Paul Kruger,CLE,LOLB,87,2014
Quentin Groves,CLE,LOLB,76,2014
Oniel Cousins,CLE,LT,66,2014
Joe Thomas,CLE,LT,97,2014
Chris Faulk,CLE,LT,60,2014
Adrian Moten,CLE,MLB,55,2014
Craig Robertson,CLE,MLB,73,2014
D'Qwell Jackson,CLE,MLB,87,2014
Tank Carder,CLE,MLB,66,2014
L.J. Fort,CLE,MLB,66,2014
Spencer Lanning,CLE,P,69,2014
T.J. Conley,CLE,P,67,2014
Brandon Weeden,CLE,QB,76,2014
Brian Hoyer,CLE,QB,71,2014
Jason Campbell,CLE,QB,75,2014
Armonty Bryant,CLE,RE,64,2014
John Hughes,CLE,RE,68,2014
Desmond Bryant,CLE,RE,88,2014
Dominic Alford,CLE,RG,60,2014
Jarrod Shaw,CLE,RG,64,2014
Shawn Lauvao,CLE,RG,75,2014
Barkevious Mingo,CLE,ROLB,76,2014
Jabaal Sheard,CLE,ROLB,82,2014
Mitchell Schwartz,CLE,RT,83,2014
Ryan Miller,CLE,RT,65,2014
Rashad Butler,CLE,RT,74,2014
Jamoris Slaughter,CLE,SS,70,2014
T.J. Ward,CLE,SS,90,2014
Jordan Cameron,CLE,TE,77,2014
Gary Barnidge,CLE,TE,74,2014
Kellen Davis,CLE,TE,77,2014
Davone Bess,CLE,WR,76,2014
Greg Little,CLE,WR,76,2014
Tori Gurley,CLE,WR,63,2014
Travis Benjamin,CLE,WR,68,2014
David Nelson,CLE,WR,74,2014
Jordan Norwood,CLE,WR,66,2014
Josh Cooper,CLE,WR,64,2014
Josh Gordon,CLE,WR,81,2014
Andrew Economos,TB,C,62,2014
Ted Larsen,TB,C,73,2014
Jeremy Zuttah,TB,C,77,2014
Cody Wallace,TB,C,69,2014
Johnthan Banks,TB,CB,72,2014
Danny Gorrer,TB,CB,64,2014
Myron Lewis,TB,CB,67,2014
Anthony Gaitor,TB,CB,70,2014
Leonard Johnson,TB,CB,70,2014
Darrelle Revis,TB,CB,97,2014
Eric Wright,TB,CB,79,2014
Derek Landri,TB,DT,74,2014
Matthew Masifilo,TB,DT,60,2014
Lazarius Levingston,TB,DT,64,2014
Andre Neblett,TB,DT,65,2014
Gerald McCoy,TB,DT,91,2014
Akeem Spence,TB,DT,71,2014
Gary Gibson,TB,DT,74,2014
Erik Lorig,TB,FB,76,2014
Ahmad Black,TB,FS,75,2014
Keith Tandy,TB,FS,69,2014
Dashon Goldson,TB,FS,90,2014
Brian Leonard,TB,HB,73,2014
Mike James,TB,HB,68,2014
Michael Smith,TB,HB,66,2014
Jeff Demps,TB,HB,63,2014
Doug Martin,TB,HB,90,2014
Connor Barth,TB,K,85,2014
Da'Quan Bowers,TB,LE,77,2014
Aaron Morgan,TB,LE,67,2014
William Gholston,TB,LE,67,2014
Carl Nicks,TB,LG,95,2014
Adam Hayward,TB,LOLB,72,2014
Jacob Cutrera,TB,LOLB,66,2014
Dekoda Watson,TB,LOLB,70,2014
Donald Penn,TB,LT,87,2014
Mike Remmers,TB,LT,64,2014
Najee Goode,TB,MLB,59,2014
Joe Holland,TB,MLB,55,2014
Mason Foster,TB,MLB,75,2014
Chas Henry,TB,P,68,2014
Michael Koenen,TB,P,82,2014
Dan Orlovsky,TB,QB,70,2014
Josh Freeman,TB,QB,82,2014
Adam Weber,TB,QB,66,2014
Mike Glennon,TB,QB,66,2014
Daniel Te'o-Nesheim,TB,RE,68,2014
Adrian Clayborn,TB,RE,80,2014
Markus White,TB,RE,64,2014
Steven Means,TB,RE,67,2014
Jamon Meredith,TB,RG,71,2014
Davin Joseph,TB,RG,88,2014
Jonathan Casillas,TB,ROLB,73,2014
Lavonte David,TB,ROLB,89,2014
Gabe Carimi,TB,RT,75,2014
Jason Weaver,TB,RT,61,2014
Demar Dotson,TB,RT,79,2014
Mark Barron,TB,SS,80,2014
Cody Grimm,TB,SS,71,2014
Tom Crabtree,TB,TE,74,2014
Nate Byham,TB,TE,68,2014
Luke Stocker,TB,TE,77,2014
Danny Noble,TB,TE,63,2014
Zach Miller,TB,TE,70,2014
David Douglas,TB,WR,62,2014
Tiquan Underwood,TB,WR,69,2014
Vincent Jackson,TB,WR,92,2014
Kevin Ogletree,TB,WR,74,2014
Derek Hagan,TB,WR,72,2014
Chris Owusu,TB,WR,62,2014
Eric Page,TB,WR,63,2014
Mike Williams,TB,WR,85,2014
Lyle Sendlein,ARI,C,77,2014
Scott Wedige,ARI,C,61,2014
Jamell Fleming,ARI,CB,67,2014
Jerraud Powers,ARI,CB,78,2014
Bryan McCann,ARI,CB,66,2014
Javier Arenas,ARI,CB,76,2014
Patrick Peterson,ARI,CB,89,2014
Antoine Cason,ARI,CB,81,2014
David Carter,ARI,DT,72,2014
Ricky Lumpkin,ARI,DT,60,2014
Dan Williams,ARI,DT,81,2014
Jim Dray,ARI,FB,71,2014
Yeremiah Bell,ARI,FS,74,2014
Justin Bethel,ARI,FS,71,2014
Tyrann Mathieu,ARI,FS,72,2014
Alfonso Smith,ARI,HB,67,2014
Ryan Williams,ARI,HB,74,2014
Andre Ellington,ARI,HB,67,2014
Stepfan Taylor,ARI,HB,68,2014
William Powell,ARI,HB,69,2014
Rashard Mendenhall,ARI,HB,80,2014
Jay Feely,ARI,K,85,2014
Matt Shaughnessy,ARI,LE,77,2014
Ronald Talley,ARI,LE,63,2014
Calais Campbell,ARI,LE,93,2014
Chilo Rachal,ARI,LG,71,2014
Jonathan Cooper,ARI,LG,83,2014
Daryn Colledge,ARI,LG,80,2014
Lorenzo Alexander,ARI,LOLB,78,2014
Alex Okafor,ARI,LOLB,68,2014
O'Brien Schofield,ARI,LOLB,76,2014
Nate Potter,ARI,LT,67,2014
Levi Brown,ARI,LT,74,2014
Jasper Brinkley,ARI,MLB,75,2014
Karlos Dansby,ARI,MLB,83,2014
Zack Nash,ARI,MLB,52,2014
Daryl Washington,ARI,MLB,90,2014
Kevin Minter,ARI,MLB,71,2014
Reggie Walker,ARI,MLB,70,2014
Dave Zastudil,ARI,P,91,2014
Carson Palmer,ARI,QB,84,2014
Drew Stanton,ARI,QB,73,2014
Ryan Lindley,ARI,QB,65,2014
Frostee Rucker,ARI,RE,77,2014
Darnell Dockett,ARI,RE,79,2014
Earl Watford,ARI,RG,70,2014
Senio Kelemete,ARI,RG,64,2014
Mike Gibson,ARI,RG,70,2014
Sam Acho,ARI,ROLB,74,2014
Tim Fugger,ARI,ROLB,62,2014
Paul Fanaika,ARI,RT,70,2014
Bobby Massie,ARI,RT,76,2014
Jonathon Amaya,ARI,SS,68,2014
Curtis Taylor,ARI,SS,63,2014
Rashad Johnson,ARI,SS,76,2014
Mike Leach,ARI,TE,71,2014
Jeff King,ARI,TE,75,2014
D.C. Jefferson,ARI,TE,71,2014
Rob Housler,ARI,TE,74,2014
Kory Sperry,ARI,TE,67,2014
Michael Floyd,ARI,WR,75,2014
Kerry Taylor,ARI,WR,58,2014
Ryan Swope,ARI,WR,65,2014
Andre Roberts,ARI,WR,78,2014
Larry Fitzgerald,ARI,WR,92,2014
LaRon Byrd,ARI,WR,63,2014
Jarett Dillard,ARI,WR,65,2014
Nick Hardwick,LAC,C,78,2014
David Molk,LAC,C,68,2014
Colin Baxter,LAC,C,68,2014
Shareece Wright,LAC,CB,75,2014
Johnny Patrick,LAC,CB,70,2014
Cornelius Brown,LAC,CB,60,2014
Steve Williams,LAC,CB,69,2014
Gregory Gatson,LAC,CB,62,2014
Derek Cox,LAC,CB,84,2014
Kwame Geathers,LAC,DT,61,2014
Cam Thomas,LAC,DT,76,2014
Chris Gronkowski,LAC,FB,65,2014
Le'Ron McClain,LAC,FB,81,2014
Eric Weddle,LAC,FS,96,2014
Darrell Stuckey,LAC,FS,74,2014
Ryan Mathews,LAC,HB,82,2014
Edwin Baker,LAC,HB,62,2014
Ronnie Brown,LAC,HB,78,2014
Danny Woodhead,LAC,HB,82,2014
Nick Novak,LAC,K,79,2014
Jarius Wynn,LAC,LE,73,2014
Corey Liuget,LAC,LE,84,2014
Rich Ohrnberger,LAC,LG,70,2014
Chad Rinehart,LAC,LG,76,2014
Jarret Johnson,LAC,LOLB,82,2014
Thomas Keiser,LAC,LOLB,66,2014
Melvin Ingram,LAC,LOLB,77,2014
Max Starks,LAC,LT,75,2014
Mike Harris,LAC,LT,57,2014
King Dunlap,LAC,LT,78,2014
Bront Bird,LAC,MLB,62,2014
Jonas Mouton,LAC,MLB,69,2014
D.J. Smith,LAC,MLB,73,2014
Andrew Gachkar,LAC,MLB,64,2014
Manti Te'o,LAC,MLB,74,2014
Donald Butler,LAC,MLB,85,2014
Phillip Dillard,LAC,MLB,64,2014
Mike Scifres,LAC,P,89,2014
Charlie Whitehurst,LAC,QB,73,2014
Philip Rivers,LAC,QB,84,2014
Brad Sorensen,LAC,QB,64,2014
Damik Scafe,LAC,RE,64,2014
Kendall Reyes,LAC,RE,80,2014
Stephen Schilling,LAC,RG,70,2014
Johnnie Troutman,LAC,RG,64,2014
Jeromey Clary,LAC,RG,73,2014
Larry English,LAC,ROLB,77,2014
Dwight Freeney,LAC,ROLB,88,2014
Tourek Williams,LAC,ROLB,63,2014
D.J. Fluker,LAC,RT,78,2014
Brandyn Dombrowski,LAC,RT,72,2014
Marcus Gilchrist,LAC,SS,72,2014
Sean Cattouse,LAC,SS,62,2014
Brandon Taylor,LAC,SS,70,2014
Kyle Nelson,LAC,TE,43,2014
Antonio Gates,LAC,TE,87,2014
John Phillips,LAC,TE,76,2014
Mike Windt,LAC,TE,49,2014
Ladarius Green,LAC,TE,68,2014
Vincent Brown,LAC,WR,74,2014
Keenan Allen,LAC,WR,74,2014
Danario Alexander,LAC,WR,82,2014
Richard Goodman,LAC,WR,66,2014
Deon Butler,LAC,WR,70,2014
Malcom Floyd,LAC,WR,81,2014
Robert Meachem,LAC,WR,73,2014
Mike Willie,LAC,WR,56,2014
Eddie Royal,LAC,WR,74,2014
Eric Kush,KC,C,62,2014
Rodney Hudson,KC,C,76,2014
Jalil Brown,KC,CB,66,2014
Sanders Commings,KC,CB,70,2014
Dunta Robinson,KC,CB,82,2014
Neiko Thorpe,KC,CB,57,2014
Sean Smith,KC,CB,82,2014
Brandon Flowers,KC,CB,94,2014
Anthony Toribio,KC,DT,71,2014
Jerrell Powe,KC,DT,70,2014
Dontari Poe,KC,DT,78,2014
Anthony Sherman,KC,FB,73,2014
Braden Wilson,KC,FB,71,2014
Tysyn Hartman,KC,FS,65,2014
Kendrick Lewis,KC,FS,79,2014
Knile Davis,KC,HB,66,2014
Shaun Draughn,KC,HB,69,2014
Cyrus Gray,KC,HB,66,2014
Jamaal Charles,KC,HB,94,2014
Ryan Succop,KC,K,78,2014
Marcus Dixon,KC,LE,73,2014
Austen Lane,KC,LE,72,2014
Tyson Jackson,KC,LE,75,2014
Jeff Allen,KC,LG,69,2014
Geoff Schwartz,KC,LG,77,2014
Justin Houston,KC,LOLB,91,2014
Edgar Jones,KC,LOLB,65,2014
Steven Baker,KC,LT,56,2014
Branden Albert,KC,LT,89,2014
Nico Johnson,KC,MLB,65,2014
Akeem Jordan,KC,MLB,71,2014
Zac Diles,KC,MLB,68,2014
Derrick Johnson,KC,MLB,93,2014
Orie Lemon,KC,MLB,57,2014
Dustin Colquitt,KC,P,88,2014
Alex Smith,KC,QB,87,2014
Chase Daniel,KC,QB,75,2014
Tyler Bray,KC,QB,64,2014
Ricky Stanzi,KC,QB,65,2014
Allen Bailey,KC,RE,70,2014
Mike Devito,KC,RE,80,2014
Ryan Durand,KC,RG,69,2014
Jon Asamoah,KC,RG,88,2014
Frank Zombo,KC,ROLB,70,2014
Tamba Hali,KC,ROLB,89,2014
Eric Fisher,KC,RT,84,2014
Matt Reynolds,KC,RT,59,2014
Donald Stephenson,KC,RT,72,2014
Eric Berry,KC,SS,88,2014
Husain Abdullah,KC,SS,78,2014
Kevin Brock,KC,TE,65,2014
Thomas Gafford,KC,TE,69,2014
Travis Kelce,KC,TE,73,2014
Tony Moeaki,KC,TE,80,2014
Anthony Fasano,KC,TE,80,2014
Dwayne Bowe,KC,WR,88,2014
Terrance Copper,KC,WR,65,2014
Junior Hemingway,KC,WR,62,2014
Mardy Gilyard,KC,WR,63,2014
Dexter McCluster,KC,WR,74,2014
Devon Wylie,KC,WR,64,2014
Jonathan Baldwin,KC,WR,73,2014
Jamar Newsome,KC,WR,60,2014
Donnie Avery,KC,WR,76,2014
Khaled Holmes,IND,C,69,2014
Samson Satele,IND,C,78,2014
Greg Toler,IND,CB,77,2014
Vontae Davis,IND,CB,87,2014
Darius Butler,IND,CB,74,2014
Marshay Green,IND,CB,61,2014
Teddy Williams,IND,CB,59,2014
Cassius Vaughn,IND,CB,72,2014
Josh Gordy,IND,CB,69,2014
Josh Chapman,IND,DT,67,2014
Martin Tevaseu,IND,DT,66,2014
Brandon McKinney,IND,DT,71,2014
Montori Hughes,IND,DT,63,2014
Aubrayo Franklin,IND,DT,82,2014
Stanley Havili,IND,FB,73,2014
Larry Asante,IND,FS,68,2014
John Boyett,IND,FS,70,2014
Delano Howell,IND,FS,66,2014
Antoine Bethea,IND,FS,87,2014
Ahmad Bradshaw,IND,HB,83,2014
Donald Brown,IND,HB,74,2014
Delone Carter,IND,HB,72,2014
Kerwynn Williams,IND,HB,64,2014
Vick Ballard,IND,HB,77,2014
Adam Vinatieri,IND,K,87,2014
Ricardo Mathews,IND,LE,73,2014
Kellen Heard,IND,LE,59,2014
Lawrence Guy,IND,LE,63,2014
Cory Redding,IND,LE,83,2014
Joe Reitz,IND,LG,69,2014
Jeff Linkenbach,IND,LG,70,2014
Donald Thomas,IND,LG,81,2014
Erik Walden,IND,LOLB,74,2014
Quinton Spears,IND,LOLB,60,2014
Justin Hickman,IND,LOLB,66,2014
Bradley Sowell,IND,LT,62,2014
Justin Anderson,IND,LT,59,2014
Anthony Castonzo,IND,LT,79,2014
Kelvin Sheppard,IND,MLB,76,2014
Scott Lutrus,IND,MLB,59,2014
Kavell Conner,IND,MLB,73,2014
Pat Angerer,IND,MLB,77,2014
Jerrell Freeman,IND,MLB,74,2014
Mario Harvey,IND,MLB,63,2014
Pat McAfee,IND,P,94,2014
Matt Hasselbeck,IND,QB,79,2014
Chandler Harnish,IND,QB,66,2014
Andrew Luck,IND,QB,88,2014
Drake Nevis,IND,RE,73,2014
Ricky Jean Francois,IND,RE,75,2014
Fili Moala,IND,RE,73,2014
Robert Griffin,IND,RG,61,2014
Hugh Thornton,IND,RG,69,2014
Mike McGlynn,IND,RG,72,2014
Bjoern Werner,IND,ROLB,74,2014
Robert Mathis,IND,ROLB,86,2014
Lawrence Sidbury,IND,ROLB,66,2014
Ben Ijalana,IND,RT,72,2014
Lee Ziemba,IND,RT,64,2014
Gosder Cherilus,IND,RT,90,2014
Joe Lefeged,IND,SS,74,2014
Sergio Brown,IND,SS,70,2014
LaRon Landry,IND,SS,86,2014
Justice Cunningham,IND,TE,69,2014
Matt Overton,IND,TE,50,2014
Weslye Saunders,IND,TE,73,2014
Coby Fleener,IND,TE,77,2014
Dwayne Allen,IND,TE,84,2014
LaVon Brazill,IND,WR,67,2014
T.Y. Hilton,IND,WR,79,2014
Nathan Palmer,IND,WR,63,2014
Griff Whalen,IND,WR,67,2014
Reggie Wayne,IND,WR,91,2014
Darrius Heyward-Bey,IND,WR,79,2014
Ryan Cook,DAL,C,72,2014
Kevin Kowalski,DAL,C,63,2014
Phil Costa,DAL,C,74,2014
Travis Frederick,DAL,C,73,2014
Sterling Moore,DAL,CB,68,2014
Morris Claiborne,DAL,CB,82,2014
B.W. Webb,DAL,CB,68,2014
Orlando Scandrick,DAL,CB,76,2014
Brandon Carr,DAL,CB,88,2014
Nick Hayden,DAL,DT,67,2014
Ben Bass,DAL,DT,61,2014
Jeris Pendleton,DAL,DT,64,2014
Jay Ratliff,DAL,DT,84,2014
Jason Hatcher,DAL,DT,87,2014
Josh Brent,DAL,DT,74,2014
Sean Lissemore,DAL,DT,76,2014
Lawrence Vickers,DAL,FB,79,2014
Brandon Underwood,DAL,FS,67,2014
Matt Johnson,DAL,FS,71,2014
J.J. Wilcox,DAL,FS,68,2014
Joseph Randle,DAL,HB,69,2014
DeMarco Murray,DAL,HB,84,2014
Phillip Tanner,DAL,HB,69,2014
