team,player,position,xg90,def90,is_nominal_starter,exp_minutes
France,Hugo Silva,DEF,0.049,0.275,False,2.7
France,Joao Mensah,MID,0.489,0.214,True,82.5
France,Karim Haddad,MID,0.485,0.175,True,86.8
France,Mateo Bello,MID,0.481,0.203,True,83.0
France,Joao Costa,MID,0.461,0.142,True,68.1
France,Ivan Costa,MID,0.375,0.163,False,21.3
France,Felix Ferrari,MID,0.309,0.155,False,15.9
France,Sami Novak,MID,0.28,0.096,False,0.0
France,Diego Novak,MID,0.16,0.036,False,5.9
France,Yuki Mensah,FWD,0.742,0.038,True,87.7
France,Lars Laurent,FWD,0.705,0.023,True,77.8
France,Omar Bauer,FWD,0.486,0.042,False,15.0
France,Cole Mensah,FWD,0.49,0.018,False,0.6
France,Pavel Kovac,FWD,0.404,-0.08,False,1.8
France,Yuki Kovac,FWD,0.421,-0.018,False,0.2
France,Cole Kovac,FWD,0.421,0.019,False,3.7
Brazil,Alex Laurent,GK,0.026,0.749,True,81.7
Brazil,Hugo Kovac,GK,0.011,0.702,False,6.3
Brazil,Joao Bauer,GK,0.038,0.44,False,20.2
Brazil,Diego Andersen,DEF,0.156,0.553,True,84.1
Brazil,Cole Bello,DEF,0.107,0.384,True,84.4
Brazil,Ivan Novak,DEF,0.127,0.438,True,76.1
Brazil,Ivan Suzuki,DEF,0.098,0.394,True,75.8
Brazil,Mateo Silva,DEF,0.11,0.384,False,11.3
Brazil,Tom Mensah,DEF,0.128,0.39,False,15.5
Brazil,Karim Sokol,DEF,0.044,0.274,False,7.1
Brazil,Ali Kemal,DEF,0.004,0.081,False,4.2
Brazil,Hugo Sokol,MID,0.53,0.21,True,69.9
Brazil,Yuki Silva,MID,0.49,0.174,True,74.3
Brazil,Karim Laurent,MID,0.388,0.136,True,82.7
Brazil,Cole Berg,MID,0.337,0.18,True,76.9
Brazil,Tom Olsen,MID,0.302,0.113,False,6.2
Brazil,Jude Park,MID,0.301,0.147,False,8.9
Brazil,Karim Olsen,MID,0.241,0.119,False,3.0
Brazil,Mateo Mensah,MID,0.247,0.098,False,3.6
Brazil,Felix Haddad,FWD,1.01,-0.005,True,80.3
Brazil,Tariq Müller,FWD,0.762,-0.023,True,73.4
Brazil,Kai Berg,FWD,0.758,0.095,False,16.5
Brazil,Tariq Owusu,FWD,0.696,0.025,False,13.9
Brazil,Niko Fofana,FWD,0.648,-0.01,False,8.0
Brazil,Luka Ferrari,FWD,0.637,0.009,False,5.7
Brazil,Tom Petrov,FWD,0.252,0.002,False,0.0
England,Hugo Andersen,GK,0.036,0.793,True,73.8
England,Felix Bauer,GK,0.021,0.715,False,22.7
England,Alex Fofana,GK,0.0,0.615,False,21.2
England,Mateo Nadir,DEF,0.181,0.79,True,74.6
England,Ze Kovac,DEF,0.11,0.581,True,84.2
England,Jude Müller,DEF,0.165,0.602,True,72.3
England,Raul Kovac,DEF,0.109,0.496,True,75.3
England,Bruno Marin,DEF,0.081,0.353,False,6.8
England,Ali Fofana,DEF,0.102,0.327,False,15.7
England,Felix Novak,DEF,0.04,0.305,False,1.9
England,Theo Nadir,DEF,0.017,0.193,False,3.0
England,Ze Laurent,MID,0.405,0.19,True,68.3
England,Bruno Reyes,MID,0.348,0.174,True,84.9
England,Karim Reyes,MID,0.361,0.153,True,71.8
England,Cole Costa,MID,0.307,0.129,True,81.9
England,Ali Vega,MID,0.321,0.118,False,7.4
England,Joao Vega,MID,0.343,0.135,False,17.4
England,Ze Fofana,MID,0.303,0.143,False,11.4
England,Tom Nadir,MID,0.166,0.07,False,0.0
England,Kai Müller,FWD,0.849,0.066,True,72.1
England,Karim Müller,FWD,0.734,0.072,True,83.3
England,Sami Vega,FWD,0.676,-0.028,False,13.0
England,Omar Olsen,FWD,0.511,0.019,False,8.0
England,Noah Costa,FWD,0.388,0.056,False,11.2
England,Cole Nadir,FWD,0.285,0.013,False,1.5
England,Yuki Rossi,FWD,0.007,-0.027,False,6.3
Spain,Sami Ferrari,GK,0.0,0.691,True,72.8
Spain,Luka Park,GK,0.0,0.615,False,6.3
Spain,Mateo Rossi,GK,0.004,0.445,False,15.8
Spain,Raul Andersen,DEF,0.109,0.417,True,75.1
Spain,Felix Nadir,DEF,0.106,0.332,True,78.5
Spain,Leon Sokol,DEF,0.097,0.38,True,72.2
Spain,Tom Reyes,DEF,0.1,0.369,True,77.1
Spain,Diego Marin,DEF,0.097,0.385,False,21.9
Spain,Eden Sokol,DEF,0.05,0.363,False,14.2
Spain,Tariq Bauer,DEF,0.037,0.245,False,1.4
Spain,Tariq Petrov,DEF,0.051,0.264,False,10.4
Spain,Bruno Costa,MID,0.426,0.182,True,80.1
Spain,Theo Sokol,MID,0.398,0.172,True,74.2
Spain,Noah Silva,MID,0.353,0.109,True,79.2
Spain,Diego Fofana,MID,0.346,0.095,True,73.8
Spain,Raul Diallo,MID,0.271,0.127,False,21.1
Spain,Kai Rossi,MID,0.288,0.131,False,20.2
Spain,Yuki Owusu,MID,0.245,0.128,False,6.4
Spain,Ali Costa,MID,0.206,0.097,False,4.9
Spain,Yuki Vega,FWD,1.019,0.082,True,70.4
Spain,Leon Haddad,FWD,0.885,0.057,True,81.9
Spain,Theo Laurent,FWD,0.778,0.04,False,10.8
Spain,Joao Berg,FWD,0.657,0.04,False,12.0
Spain,Tariq Park,FWD,0.591,0.056,False,0.3
Spain,Jude Diallo,FWD,0.599,0.002,False,6.4
Spain,Sami Rossi,FWD,0.553,0.025,False,2.5
Portugal,Ze Marin,GK,0.008,0.822,True,83.8
Portugal,Dani Ferrari,GK,0.015,0.662,False,24.9
Portugal,Theo Park,GK,0.0,0.503,False,17.8
Portugal,Jude Mensah,DEF,0.132,0.43,True,72.5
Portugal,Hugo Haddad,DEF,0.12,0.429,True,72.5
Portugal,Dani Novak,DEF,0.075,0.374,True,72.4
Portugal,Joao Suzuki,DEF,0.113,0.361,True,78.5
Portugal,Eden Mensah,DEF,0.083,0.332,False,22.8
Portugal,Felix Andersen,DEF,0.086,0.279,False,27.4
Portugal,Jude Owusu,DEF,0.061,0.237,False,0.0
Portugal,Eden Haddad,DEF,0.038,0.206,False,6.3
Portugal,Raul Ferrari,MID,0.465,0.217,True,83.8
Portugal,Lars Ferrari,MID,0.328,0.122,True,67.7
Portugal,Mateo Laurent,MID,0.287,0.061,True,76.4
Portugal,Omar Diallo,MID,0.29,0.117,True,72.7
Portugal,Leon Petrov,MID,0.242,0.06,False,14.7
Portugal,Karim Petrov,MID,0.265,0.126,False,10.5
Portugal,Theo Ferrari,MID,0.131,0.064,False,2.6
Portugal,Sami Costa,MID,0.053,0.039,False,0.0
Portugal,Noah Kemal,FWD,1.089,0.046,True,75.2
Portugal,Tom Kovac,FWD,0.729,0.03,True,71.6
Portugal,Sami Sokol,FWD,0.667,0.006,False,11.4
Portugal,Ali Laurent,FWD,0.609,-0.025,False,19.8
Portugal,Jude Kemal,FWD,0.539,0.037,False,0.3
Portugal,Cole Ferrari,FWD,0.538,-0.024,False,1.3
Portugal,Leon Laurent,FWD,0.369,0.063,False,3.0
Netherlands,Leon Vega,GK,0.017,0.491,True,65.7
Netherlands,Diego Mensah,GK,0.015,0.481,False,19.7
Netherlands,Kai Diallo,GK,0.015,0.431,False,18.2
Netherlands,Cole Silva,DEF,0.147,0.586,True,77.7
Netherlands,Cole Petrov,DEF,0.112,0.412,True,77.0
Netherlands,Leon Fofana,DEF,0.149,0.391,True,74.5
Netherlands,Niko Diallo,DEF,0.102,0.342,True,74.4
Netherlands,Hugo Reyes,DEF,0.066,0.345,False,12.2
Netherlands,Felix Olsen,DEF,0.025,0.247,False,16.4
Netherlands,Pavel Petrov,DEF,0.014,0.228,False,6.9
Netherlands,Raul Haddad,DEF,0.036,0.172,False,6.3
Netherlands,Omar Novak,MID,0.512,0.23,True,74.3
Netherlands,Tom Silva,MID,0.438,0.23,True,74.3
Netherlands,Karim Tanaka,MID,0.408,0.188,True,84.8
Netherlands,Omar Kovac,MID,0.347,0.12,True,82.2
Netherlands,Eden Novak,MID,0.305,0.145,False,16.5
Netherlands,Niko Bello,MID,0.237,0.12,False,18.5
Netherlands,Leon Silva,MID,0.233,0.127,False,2.8
Netherlands,Sami Fofana,MID,0.218,0.075,False,3.8
Netherlands,Noah Olsen,FWD,0.838,0.093,True,75.9
Netherlands,Eden Olsen,FWD,0.7,0.075,True,69.5
Netherlands,Tariq Diallo,FWD,0.631,0.031,False,10.9
Netherlands,Omar Müller,FWD,0.533,0.023,False,18.7
Netherlands,Cole Olsen,FWD,0.332,0.044,False,6.6
Netherlands,Noah Bello,FWD,0.358,0.047,False,2.1
Netherlands,Ze Suzuki,FWD,0.351,0.052,False,0.0
Germany,Ivan Park,GK,0.015,0.795,True,73.0
Germany,Sami Laurent,GK,0.033,0.476,False,17.7
Germany,Niko Silva,GK,0.0,0.416,False,14.8
Germany,Raul Costa,DEF,0.157,0.517,True,84.4
Germany,Dani Reyes,DEF,0.142,0.464,True,84.4
Germany,Mateo Vega,DEF,0.084,0.418,True,79.5
Germany,Theo Novak,DEF,0.107,0.401,True,74.6
Germany,Hugo Kemal,DEF,0.052,0.396,False,8.2
Germany,Omar Kemal,DEF,0.077,0.3,False,17.5
Germany,Sami Olsen,DEF,0.061,0.272,False,3.7
Germany,Dani Rossi,DEF,0.097,0.306,False,7.7
Germany,Ze Bauer,MID,0.448,0.162,True,77.6
Germany,Ze Berg,MID,0.382,0.142,True,84.4
Germany,Hugo Nadir,MID,0.34,0.115,True,72.9
Germany,Alex Kemal,MID,0.303,0.13,True,73.4
Germany,Pavel Silva,MID,0.302,0.104,False,10.3
Germany,Dani Park,MID,0.291,0.079,False,3.5
Germany,Kai Andersen,MID,0.234,0.089,False,9.7
Germany,Luka Novak,MID,0.186,0.105,False,2.6
Germany,Kai Suzuki,FWD,0.947,0.032,True,84.4
Germany,Dani Tanaka,FWD,0.688,0.052,True,73.1
Germany,Sami Marin,FWD,0.685,-0.016,False,15.8
Germany,Ze Sokol,FWD,0.638,-0.01,False,9.3
Germany,Jude Bello,FWD,0.621,-0.002,False,1.2
Germany,Theo Reyes,FWD,0.544,0.009,False,0.0
Germany,Marco Mensah,FWD,0.366,-0.051,False,6.6
Belgium,Ali Petrov,GK,0.0,0.936,True,82.0
Belgium,Luka Bello,GK,0.0,0.785,False,4.5
Belgium,Karim Ferrari,GK,0.0,0.634,False,13.3
Belgium,Marco Owusu,DEF,0.111,0.464,True,79.9
Belgium,Diego Laurent,DEF,0.088,0.451,True,84.9
Belgium,Dani Marin,DEF,0.106,0.46,True,79.9
Belgium,Luka Suzuki,DEF,0.093,0.358,True,74.2
Belgium,Leon Bello,DEF,0.108,0.348,False,12.2
Belgium,Lars Andersen,DEF,0.082,0.369,False,17.5
Belgium,Diego Bauer,DEF,0.077,0.285,False,3.3
Belgium,Theo Marin,DEF,0.038,0.097,False,8.8
Belgium,Omar Fofana,MID,0.408,0.111,True,75.2
Belgium,Alex Bello,MID,0.331,0.093,True,71.1
Belgium,Noah Owusu,MID,0.256,0.109,True,81.4
Belgium,Bruno Andersen,MID,0.256,0.106,True,77.5
Belgium,Eden Park,MID,0.214,0.068,False,15.4
Belgium,Jude Sokol,MID,0.206,0.095,False,14.0
Belgium,Tariq Kemal,MID,0.24,0.083,False,0.7
Belgium,Omar Nadir,MID,0.072,0.042,False,0.0
Belgium,Mateo Sokol,FWD,0.828,0.021,True,76.7
Belgium,Karim Vega,FWD,0.639,0.023,True,75.4
Belgium,Hugo Suzuki,FWD,0.525,0.017,False,9.4
Belgium,Sami Suzuki,FWD,0.498,0.047,False,22.8
Belgium,Leon Mensah,FWD,0.438,0.012,False,6.9
Belgium,Sami Kemal,FWD,0.337,-0.002,False,2.4
Belgium,Raul Rossi,FWD,0.191,-0.043,False,0.4
Italy,Niko Suzuki,GK,0.011,0.845,True,75.4
Italy,Marco Suzuki,GK,0.008,0.868,False,25.9
Italy,Dani Berg,GK,0.0,0.611,False,7.0
Italy,Lars Petrov,DEF,0.14,0.607,True,79.9
Italy,Theo Silva,DEF,0.135,0.516,True,64.8
Italy,Hugo Olsen,DEF,0.103,0.439,True,78.2
Italy,Cole Vega,DEF,0.076,0.486,True,76.9
Italy,Raul Vega,DEF,0.096,0.405,False,16.8
Italy,Ali Tanaka,DEF,0.063,0.356,False,8.3
Italy,Hugo Owusu,DEF,0.091,0.316,False,0.0
Italy,Lars Vega,DEF,0.032,0.189,False,4.5
Italy,Tariq Fofana,MID,0.363,0.266,True,69.3
Italy,Kai Haddad,MID,0.362,0.176,True,77.2
Italy,Ivan Bauer,MID,0.344,0.171,True,69.9
Italy,Bruno Bauer,MID,0.314,0.172,True,80.9
Italy,Mateo Berg,MID,0.258,0.171,False,15.7
Italy,Karim Kovac,MID,0.199,0.075,False,24.8
Italy,Cole Marin,MID,0.227,0.167,False,7.3
Italy,Pavel Fofana,MID,0.19,0.108,False,4.3
Italy,Jude Novak,FWD,0.824,0.059,True,64.5
Italy,Diego Park,FWD,0.671,0.049,True,74.2
Italy,Ali Bauer,FWD,0.561,0.033,False,24.6
Italy,Cole Rossi,FWD,0.568,-0.017,False,23.8
Italy,Mateo Park,FWD,0.518,-0.024,False,6.9
Italy,Noah Fofana,FWD,0.375,0.056,False,5.6
Italy,Mateo Owusu,FWD,0.24,-0.025,False,2.9
Croatia,Karim Marin,GK,0.0,0.578,True,74.6
Croatia,Leon Berg,GK,0.0,0.427,False,16.7
Croatia,Tom Costa,GK,0.046,0.326,False,10.9
Croatia,Eden Suzuki,DEF,0.111,0.536,True,80.5
Croatia,Eden Berg,DEF,0.084,0.43,True,80.7
Croatia,Marco Bauer,DEF,0.089,0.421,True,74.1
Croatia,Omar Suzuki,DEF,0.095,0.397,True,64.7
Croatia,Cole Bauer,DEF,0.054,0.366,False,23.8
Croatia,Joao Tanaka,DEF,0.079,0.301,False,19.7
Croatia,Hugo Fofana,DEF,0.001,0.329,False,6.6
Croatia,Kai Kovac,DEF,0.076,0.274,False,9.9
Croatia,Theo Costa,MID,0.497,0.207,True,84.4
Croatia,Sami Berg,MID,0.283,0.163,True,70.2
Croatia,Pavel Bauer,MID,0.244,0.131,True,86.9
Croatia,Tariq Kovac,MID,0.247,0.091,True,70.2
Croatia,Dani Mensah,MID,0.311,0.139,False,10.6
Croatia,Ali Mensah,MID,0.216,0.114,False,13.2
Croatia,Joao Kovac,MID,0.119,0.073,False,6.2
Croatia,Diego Suzuki,MID,0.055,0.002,False,3.3
Croatia,Theo Berg,FWD,0.845,0.023,True,85.9
Croatia,Hugo Bello,FWD,0.684,0.007,True,61.3
Croatia,Karim Costa,FWD,0.632,-0.006,False,16.6
Croatia,Yuki Nadir,FWD,0.539,-0.022,False,10.9
Croatia,Noah Park,FWD,0.375,0.053,False,4.2
Croatia,Marco Haddad,FWD,0.333,0.024,False,0.0
Croatia,Ze Kemal,FWD,0.242,0.029,False,3.6
Uruguay,Theo Petrov,GK,0.025,0.552,True,70.6
Uruguay,Bruno Petrov,GK,0.015,0.504,False,21.4
Uruguay,Joao Novak,GK,0.026,0.501,False,13.7
Uruguay,Joao Kemal,DEF,0.11,0.583,True,76.6
Uruguay,Bruno Kovac,DEF,0.127,0.494,True,72.5
Uruguay,Kai Petrov,DEF,0.136,0.309,True,80.3
Uruguay,Jude Andersen,DEF,0.101,0.304,True,76.1
Uruguay,Lars Berg,DEF,0.063,0.319,False,15.7
Uruguay,Joao Silva,DEF,0.115,0.356,False,19.6
Uruguay,Tom Andersen,DEF,0.058,0.284,False,5.2
Uruguay,Ze Diallo,DEF,0.117,0.2,False,7.5
Uruguay,Leon Suzuki,MID,0.468,0.16,True,78.8
Uruguay,Luka Silva,MID,0.441,0.181,True,59.1
Uruguay,Hugo Petrov,MID,0.281,0.122,True,82.6
Uruguay,Luka Sokol,MID,0.327,0.138,True,82.6
Uruguay,Marco Marin,MID,0.248,0.12,False,22.9
Uruguay,Jude Berg,MID,0.244,0.109,False,10.9
Uruguay,Tom Laurent,MID,0.24,0.077,False,1.9
Uruguay,Niko Vega,MID,0.178,0.078,False,1.2
Uruguay,Raul Suzuki,FWD,0.76,0.095,True,77.6
Uruguay,Dani Diallo,FWD,0.688,0.001,True,74.2
Uruguay,Noah Bauer,FWD,0.611,0.021,False,12.9
Uruguay,Pavel Müller,FWD,0.565,0.013,False,14.5
Uruguay,Noah Tanaka,FWD,0.412,0.012,False,8.6
Uruguay,Tom Fofana,FWD,0.27,0.046,False,2.2
Uruguay,Hugo Müller,FWD,0.232,-0.057,False,0.5
Morocco,Dani Vega,GK,0.0,0.713,True,80.5
Morocco,Bruno Haddad,GK,0.014,0.462,False,15.2
Morocco,Bruno Mensah,GK,0.013,0.505,False,9.9
Morocco,Niko Bauer,DEF,0.133,0.646,True,77.1
Morocco,Ivan Vega,DEF,0.118,0.6,True,79.4
Morocco,Lars Diallo,DEF,0.099,0.381,True,77.4
Morocco,Bruno Nadir,DEF,0.065,0.287,True,83.3
Morocco,Tom Haddad,DEF,0.062,0.333,False,18.4
Morocco,Pavel Haddad,DEF,0.048,0.347,False,16.6
Morocco,Leon Kovac,DEF,0.046,0.275,False,3.7
Morocco,Niko Laurent,DEF,0.031,0.321,False,7.2
Morocco,Jude Olsen,MID,0.284,0.103,True,74.2
Morocco,Joao Olsen,MID,0.212,0.087,True,72.2
Morocco,Felix Laurent,MID,0.239,0.141,True,72.3
Morocco,Noah Müller,MID,0.199,0.133,True,66.2
Morocco,Marco Diallo,MID,0.13,0.097,False,22.7
Morocco,Ivan Kovac,MID,0.15,0.083,False,24.0
Morocco,Eden Marin,MID,0.102,0.111,False,4.5
Morocco,Omar Silva,MID,0.049,0.042,False,6.9
Morocco,Ivan Owusu,FWD,0.553,0.048,True,74.2
Morocco,Ali Bello,FWD,0.545,0.05,True,72.7
Morocco,Joao Petrov,FWD,0.582,0.001,False,10.8
Morocco,Niko Costa,FWD,0.529,0.076,False,10.8
Morocco,Cole Müller,FWD,0.488,0.058,False,0.5
Morocco,Raul Laurent,FWD,0.331,-0.024,False,7.7
Morocco,Ivan Andersen,FWD,0.157,0.01,False,1.4
Colombia,Diego Berg,GK,0.025,0.922,True,75.7
Colombia,Pavel Marin,GK,0.005,0.633,False,17.8
Colombia,Diego Diallo,GK,0.029,0.384,False,5.0
Colombia,Luka Kemal,DEF,0.138,0.441,True,76.8
Colombia,Noah Kovac,DEF,0.107,0.463,True,65.0
Colombia,Felix Silva,DEF,0.09,0.417,True,82.6
Colombia,Leon Owusu,DEF,0.069,0.457,True,73.5
Colombia,Marco Laurent,DEF,0.074,0.338,False,12.6
Colombia,Leon Park,DEF,0.043,0.286,False,10.5
Colombia,Diego Olsen,DEF,0.061,0.244,False,12.7
Colombia,Theo Kemal,DEF,0.005,0.147,False,0.0
Colombia,Ali Owusu,MID,0.391,0.158,True,77.0
Colombia,Noah Marin,MID,0.312,0.164,True,77.5
Colombia,Mateo Petrov,MID,0.274,0.142,True,72.9
Colombia,Eden Vega,MID,0.313,0.116,True,72.2
Colombia,Raul Nadir,MID,0.225,0.139,False,21.5
Colombia,Leon Olsen,MID,0.229,0.113,False,17.3
Colombia,Omar Park,MID,0.205,0.073,False,10.8
Colombia,Noah Sokol,MID,0.049,0.045,False,7.8
Colombia,Tom Owusu,FWD,0.928,0.004,True,80.7
Colombia,Yuki Ferrari,FWD,0.923,0.013,True,82.2
Colombia,Pavel Owusu,FWD,0.535,0.022,False,13.9
Colombia,Lars Owusu,FWD,0.473,0.006,False,6.5
Colombia,Marco Costa,FWD,0.466,0.049,False,9.5
Colombia,Ivan Marin,FWD,0.405,0.009,False,3.7
Colombia,Theo Vega,FWD,0.287,0.046,False,4.4
Mexico,Tom Ferrari,GK,0.001,0.617,True,74.9
Mexico,Alex Tanaka,GK,0.0,0.575,False,24.8
Mexico,Ivan Diallo,GK,0.006,0.476,False,17.9
Mexico,Raul Müller,DEF,0.175,0.555,True,77.9
Mexico,Marco Kemal,DEF,0.145,0.46,True,76.2
Mexico,Tariq Laurent,DEF,0.102,0.416,True,76.2
Mexico,Lars Reyes,DEF,0.081,0.356,True,81.4
Mexico,Tariq Silva,DEF,0.086,0.366,False,19.0
Mexico,Ze Bello,DEF,0.059,0.366,False,16.3
Mexico,Lars Fofana,DEF,0.063,0.248,False,0.0
Mexico,Theo Owusu,DEF,0.058,0.238,False,7.8
Mexico,Noah Ferrari,MID,0.369,0.18,True,70.7
Mexico,Alex Sokol,MID,0.388,0.193,True,83.0
Mexico,Yuki Novak,MID,0.25,0.124,True,71.8
Mexico,Felix Petrov,MID,0.216,0.113,True,88.0
Mexico,Marco Ferrari,MID,0.182,0.093,False,6.9
Mexico,Sami Haddad,MID,0.243,0.097,False,1.3
Mexico,Ivan Kemal,MID,0.153,0.093,False,3.3
Mexico,Karim Andersen,MID,0.142,0.064,False,0.0
Mexico,Omar Ferrari,FWD,0.679,0.058,True,88.0
Mexico,Alex Reyes,FWD,0.665,0.04,True,69.3
Mexico,Eden Rossi,FWD,0.547,-0.013,False,6.4
Mexico,Kai Olsen,FWD,0.536,0.027,False,12.4
Mexico,Ivan Sokol,FWD,0.396,-0.005,False,5.4
Mexico,Yuki Bauer,FWD,0.283,0.064,False,7.3
Mexico,Eden Ferrari,FWD,0.195,0.053,False,3.8
USA,Marco Olsen,GK,0.015,0.779,True,73.0
USA,Lars Müller,GK,0.0,0.639,False,15.6
USA,Noah Reyes,GK,0.0,0.399,False,28.1
USA,Dani Suzuki,DEF,0.168,0.499,True,80.5
USA,Bruno Novak,DEF,0.151,0.425,True,64.5
USA,Omar Petrov,DEF,0.148,0.436,True,77.2
USA,Ivan Reyes,DEF,0.088,0.405,True,80.3
USA,Sami Petrov,DEF,0.073,0.31,False,9.3
USA,Felix Sokol,DEF,0.089,0.3,False,10.3
USA,Mateo Suzuki,DEF,0.063,0.267,False,5.0
USA,Alex Ferrari,DEF,0.036,0.229,False,0.0
USA,Pavel Sokol,MID,0.476,0.212,True,75.9
USA,Kai Sokol,MID,0.379,0.2,True,71.6
USA,Dani Sokol,MID,0.363,0.193,True,81.5
USA,Ali Reyes,MID,0.335,0.162,True,80.0
USA,Yuki Petrov,MID,0.275,0.175,False,2.6
USA,Ze Tanaka,MID,0.217,0.097,False,8.9
USA,Joao Park,MID,0.123,0.046,False,0.8
USA,Sami Müller,MID,0.0,0.019,False,3.2
USA,Pavel Diallo,FWD,0.765,-0.019,True,81.5
USA,Noah Andersen,FWD,0.573,0.026,True,85.4
USA,Theo Fofana,FWD,0.5,-0.003,False,21.4
USA,Eden Fofana,FWD,0.408,-0.024,False,18.6
USA,Alex Bauer,FWD,0.432,-0.015,False,2.8
USA,Karim Silva,FWD,0.318,0.044,False,0.8
USA,Marco Petrov,FWD,0.193,-0.011,False,11.2
Senegal,Luka Fofana,GK,0.057,0.773,True,68.7
Senegal,Tom Bello,GK,0.037,0.467,False,15.0
Senegal,Alex Nadir,GK,0.022,0.431,False,7.8
Senegal,Dani Bauer,DEF,0.164,0.535,True,72.2
Senegal,Felix Park,DEF,0.104,0.468,True,73.1
Senegal,Lars Novak,DEF,0.11,0.407,True,78.1
Senegal,Jude Tanaka,DEF,0.08,0.361,True,71.6
Senegal,Hugo Costa,DEF,0.092,0.344,False,22.7
Senegal,Raul Silva,DEF,0.059,0.235,False,11.3
Senegal,Leon Ferrari,DEF,0.031,0.284,False,7.2
Senegal,Raul Bauer,DEF,0.053,0.159,False,7.7
Senegal,Tariq Ferrari,MID,0.29,0.073,True,73.9
Senegal,Tom Kemal,MID,0.279,0.123,True,71.9
Senegal,Omar Vega,MID,0.262,0.096,True,79.0
Senegal,Raul Marin,MID,0.254,0.101,True,73.0
Senegal,Tom Sokol,MID,0.204,0.079,False,25.1
Senegal,Sami Bello,MID,0.227,0.127,False,17.9
Senegal,Bruno Park,MID,0.241,0.105,False,5.6
Senegal,Omar Tanaka,MID,0.0,0.0,False,5.1
Senegal,Karim Owusu,FWD,0.924,0.02,True,71.6
Senegal,Mateo Marin,FWD,0.705,0.047,True,80.5
Senegal,Luka Laurent,FWD,0.647,-0.016,False,24.8
Senegal,Luka Diallo,FWD,0.668,-0.01,False,15.6
Senegal,Diego Ferrari,FWD,0.397,0.011,False,5.5
Senegal,Niko Rossi,FWD,0.364,0.022,False,2.6
Senegal,Raul Owusu,FWD,0.236,0.036,False,2.6
Japan,Leon Andersen,GK,0.0,0.66,True,73.9
Japan,Dani Owusu,GK,0.0,0.666,False,13.8
Japan,Pavel Olsen,GK,0.013,0.368,False,15.2
Japan,Jude Nadir,DEF,0.159,0.628,True,62.1
Japan,Joao Bello,DEF,0.082,0.405,True,77.8
Japan,Leon Reyes,DEF,0.087,0.413,True,86.5
Japan,Kai Nadir,DEF,0.092,0.407,True,82.8
Japan,Noah Novak,DEF,0.072,0.334,False,16.6
Japan,Leon Diallo,DEF,0.057,0.258,False,10.9
Japan,Bruno Silva,DEF,0.06,0.222,False,6.5
Japan,Kai Reyes,DEF,0.084,0.294,False,0.0
Japan,Jude Silva,MID,0.331,0.177,True,76.5
Japan,Mateo Müller,MID,0.266,0.117,True,73.7
Japan,Yuki Laurent,MID,0.255,0.122,True,77.0
Japan,Lars Kovac,MID,0.201,0.136,True,79.5
Japan,Ali Marin,MID,0.216,0.101,False,23.8
Japan,Ivan Laurent,MID,0.154,0.137,False,16.1
Japan,Yuki Diallo,MID,0.185,0.067,False,11.9
Japan,Leon Marin,MID,0.099,0.087,False,2.3
Japan,Luka Costa,FWD,0.738,0.066,True,73.6
Japan,Raul Sokol,FWD,0.559,0.057,True,79.9
